country,year,deaths,avg_deaths,excess_deaths,excess_deaths_prc
Hungary,2013,124155.42857142857,127298.32142857143,-3142.8928571428696,-2.4689193242083585
Hungary,2014,123525.85714285714,127298.32142857143,-3772.46428571429,-2.9634831342462467
Hungary,2015,130381.57142857143,127298.32142857143,3083.25,2.422066501269655
Hungary,2016,124843.85714285714,127298.32142857143,-2454.46428571429,-1.9281199140489202
Hungary,2017,129040.42857142858,127298.32142857143,1742.107142857145,1.368523263548814
Hungary,2018,128172.57142857143,127298.32142857143,874.25,0.6867726064169289
Hungary,2019,127136.42857142858,127298.32142857143,-161.89285714285506,-0.12717595591682254
Hungary,2020,138143.0,127298.32142857143,10844.678571428565,8.519105711471333
Hungary,2021,153818.14285714284,127298.32142857143,26519.821428571406,20.83281313607264
Hungary,2022,133500.57142857142,127298.32142857143,6202.249999999985,4.872216640719917
Hungary,2023,42610.142857142855,127298.32142857143,-84688.17857142858,-66.52733329162403
Ireland,2014,29210.428571428572,30705.0,-1494.5714285714275,-4.867518086863467
Ireland,2015,30467.857142857145,30705.0,-237.14285714285506,-0.7723265173191827
Ireland,2016,30754.85714285714,30705.0,49.8571428571413,0.16237467141228235
Ireland,2017,30354.714285714286,30705.0,-350.28571428571377,-1.140810012329307
Ireland,2018,31072.14285714286,30705.0,367.1428571428587,1.1957103310303165
Ireland,2019,30638.285714285714,30705.0,-66.71428571428623,-0.21727499011329177
Ireland,2020,31524.85714285714,30705.0,819.8571428571413,2.670109568008928
Ireland,2021,33925.0,30705.0,3220.0,10.486891385767791
Ireland,2022,34329.142857142855,30705.0,3624.142857142855,11.803103263777414
Ireland,2023,11673.0,30705.0,-19032.0,-61.98339032730825
Italy,2011,594524.1428571428,629684.8571428572,-35160.71428571432,-5.5838589552960105
Italy,2012,610072.1428571428,629684.8571428572,-19612.71428571432,-3.1146873016298
Italy,2013,597640.4285714285,629684.8571428572,-32044.428571428638,-5.088962868954412
Italy,2014,595216.2857142857,629684.8571428572,-34468.57142857148,-5.47394002532787
Italy,2015,649385.1428571428,629684.8571428572,19700.28571428568,3.1285944851324667
Italy,2016,614954.7142857143,629684.8571428572,-14730.14285714284,-2.3392880883271743
Italy,2017,644071.5714285714,629684.8571428572,14386.714285714203,2.284748334427594
Italy,2018,627376.0,629684.8571428572,-2308.8571428571595,-0.36666867825493016
Italy,2019,632337.1428571428,629684.8571428572,2652.285714285681,0.42120843215449194
Italy,2020,733794.1428571428,629684.8571428572,104109.28571428568,16.533553972803624
Italy,2021,700034.2857142857,629684.8571428572,70349.42857142852,11.172164579379155
Italy,2022,697970.4285714285,629684.8571428572,68285.57142857136,10.844404253011813
