year,month,deaths,country,date,avg_deaths,excess_deaths,excess_deaths_prc,what_if_deaths,what_if_deaths_difference,what_if_deaths_sparkline
2022,9,12742.285714285714,Netherlands,2022-09-01,11294.428571428572,1447.8571428571413,12.81921554242925,148343,-84019,152146.28178242117
2022,10,14654.142857142857,Netherlands,2022-10-01,12273.357142857143,2380.7857142857138,19.397999150308152,148343,-84019,154098.11477590833
2022,11,13999.857142857143,Netherlands,2022-11-01,12351.714285714286,1648.1428571428569,13.34343410978233,148343,-84019,152301.81009229488
2022,12,14152.285714285714,Netherlands,2022-12-01,11508.071428571428,2644.2142857142862,22.977040958830145,148343,-84019,155159.96637391148
2020,1,6355.428571428572,Austria,2020-01-01,6086.571428571429,268.8571428571422,4.417218232173862,139835,-92527,141070.36342299206
2020,2,7309.142857142857,Austria,2020-02-01,7218.142857142858,90.99999999999908,1.2607120945237071,139835,-92527,140187.58335147545
2020,3,7784.142857142858,Austria,2020-03-01,7464.678571428572,319.46428571428623,4.279679059953789,139835,-92527,141031.89784269728
2020,4,7463.142857142858,Austria,2020-04-01,6556.357142857143,906.7857142857148,13.830633300286532,139835,-92527,143703.01321509114
2020,5,6622.142857142857,Austria,2020-05-01,6420.75,201.39285714285688,3.1365939671044174,139835,-92527,140712.2112347801
2020,6,6165.428571428572,Austria,2020-06-01,6114.821428571428,50.60714285714312,0.8276144029436716,139835,-92527,140066.45892007125
2020,7,6426.714285714286,Austria,2020-07-01,6307.214285714286,119.5,1.8946557796627443,139835,-92527,140364.87838189828
2020,8,6644.428571428572,Austria,2020-08-01,6370.678571428572,273.75,4.297030480045297,139835,-92527,141036.75051435427
2020,9,6571.571428571428,Austria,2020-09-01,6075.464285714286,496.1071428571422,8.165748649427135,139835,-92527,142118.71492478528
2020,10,7198.714285714285,Austria,2020-10-01,6744.357142857143,454.3571428571422,6.736848794230086,139835,-92527,141719.09450228233
2020,11,9174.0,Austria,2020-11-01,6607.25,2566.75,38.84747814900299,139835,-92527,150699.47421393165
2020,12,10571.285714285714,Austria,2020-12-01,6147.464285714286,4423.821428571428,71.96172637963386,139835,-92527,159960.5360165922
2021,1,1195.5714285714284,Austria,2021-01-01,6086.571428571429,-4891.000000000001,-80.35722668168803,139835,-92527,117361.4944139323
2021,1,7850.000000000001,Austria,2021-01-01,6086.571428571429,1763.4285714285716,28.97244519551237,139835,-92527,147937.72374782895
2021,2,6979.0,Austria,2021-02-01,7218.142857142858,-239.1428571428578,-3.313080135373175,139835,-92527,138908.43087854018
2021,3,7424.142857142858,Austria,2021-03-01,7464.678571428572,-40.535714285713766,-0.5430336202400761,139835,-92527,139683.12978742746
2021,4,7263.714285714285,Austria,2021-04-01,6556.357142857143,707.3571428571422,10.788874483870606,139835,-92527,142852.3245269041
2021,5,6976.0,Austria,2021-05-01,6420.75,555.25,8.647743643655337,139835,-92527,142253.51446482108
2021,6,6824.714285714285,Austria,2021-06-01,6114.821428571428,709.8928571428569,11.609380019274008,139835,-92527,143081.79530999035
2021,7,6667.857142857143,Austria,2021-07-01,6307.214285714286,360.6428571428569,5.7179420391615,139835,-92527,141434.1368500923
2021,8,6923.142857142858,Austria,2021-08-01,6370.678571428572,552.4642857142862,8.671984930961612,139835,-92527,142260.29402564204
2021,9,6842.571428571428,Austria,2021-09-01,6075.464285714286,767.1071428571422,12.626313097764417,139835,-92527,143366.20098405177
2021,10,7557.857142857143,Austria,2021-10-01,6744.357142857143,813.5,12.061935374545916,139835,-92527,143208.36146619925
2021,11,8886.857142857143,Austria,2021-11-01,6607.25,2279.607142857143,34.501602676713354,139835,-92527,149484.06322059644
2021,12,7744.428571428572,Austria,2021-12-01,6147.464285714286,1596.964285714285,25.97760981589389,139835,-92527,147100.15813721105
2022,1,7273.0,Austria,2022-01-01,6086.571428571429,1186.4285714285706,19.49255973337087,139835,-92527,145286.48418063184
2022,2,7436.571428571428,Austria,2022-02-01,7218.142857142858,218.42857142857065,3.02610485483008,139835,-92527,140681.31074475034
2022,3,8559.42857142857,Austria,2022-03-01,7464.678571428572,1094.749999999999,14.665735296228416,139835,-92527,143936.5661902962
2022,4,7715.0,Austria,2022-04-01,6556.357142857143,1158.6428571428569,17.67205220669143,139835,-92527,144777.3428406454
2022,5,7047.857142857143,Austria,2022-05-01,6420.75,627.1071428571431,9.766883041033262,139835,-92527,142566.50418008576
2022,6,6942.857142857143,Austria,2022-06-01,6114.821428571428,828.0357142857147,13.541453727769188,139835,-92527,143622.1383640452
2022,7,7446.285714285714,Austria,2022-07-01,6307.214285714286,1139.0714285714275,18.059818122105053,139835,-92527,144885.7893342091
2022,8,7079.142857142857,Austria,2022-08-01,6370.678571428572,708.4642857142853,11.120703670275082,139835,-92527,142945.12719546584
